Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 12-Sep-2026),Crossref citations (as of 12-Sep-2026)
Affective design using machine learning: a survey and its prospect of conjoining big data,"Bilal Abu-Salih, Kit Yan Chan, Chris K Y Fung, Pratima Jain, Huimin Jiang, C K Kwong, Zhixin Liu, T C Wong, Pornpit Wongthongtham",International Journal of Computer Integrated Manufacturing,33,7,p645 - p669,2020,10.1080/0951192x.2018.1526412,04-Oct-2018,https://doi.org/10.1080/0951192x.2018.1526412,1537.0,53.0
Big data analytics and big data science: a survey,"Hong Chen, Yong Chen, Anjee Gorkhali, Ling Li, Yang Lu, Yiqian Ma",Journal of Management Analytics,3,1,p1 - p42,2016,10.1080/23270012.2016.1141332,26-Feb-2016,https://doi.org/10.1080/23270012.2016.1141332,3910.0,83.0
Knowledge generation from Big Data for new product development: a structured literature review,"Gioconda Mele, Giuseppina Passiante, Donata Serra, Pasquale del Vecchio",Knowledge Management Research & Practice,21,4,p892 - p907,2023,10.1080/14778238.2022.2094292,28-Jul-2022,https://doi.org/10.1080/14778238.2022.2094292,555.0,5.0
BIG data - BIG gains? Understanding the link between big data analytics and innovation,"Thomas Niebel, Fabienne Rasel, Steffen Viete",Economics of Innovation and New Technology,28,3,p296 - p316,2019,10.1080/10438599.2018.1493075,17-Jul-2018,https://doi.org/10.1080/10438599.2018.1493075,32882.0,158.0
Big data and the transformation of operations models: a framework and a new research agenda,"G Graham, F Li, A Nucciarelli, S Roden",Production Planning & Control,28,11-12,p929 - p944,2017,10.1080/09537287.2017.1336792,11-Jul-2017,https://doi.org/10.1080/09537287.2017.1336792,3172.0,84.0
A survey of machine learning in additive manufacturing technologies,Jingchao Jiang,International Journal of Computer Integrated Manufacturing,36,9,p1258 - p1280,2023,10.1080/0951192x.2023.2177740,14-Feb-2023,https://doi.org/10.1080/0951192x.2023.2177740,3692.0,65.0
Enhancing discrete-event simulation with big data analytics: A review,"John Steven Edwards, Andrew Greasley",Journal of the Operational Research Society,72,2,p247 - p267,2021,10.1080/01605682.2019.1678406,20-Nov-2019,https://doi.org/10.1080/01605682.2019.1678406,3331.0,53.0
Enhancing production planning in metal-mechanical industries: statistical analysis and machine learning approach for predicting machine failures,"Marcos Alexandruk, Marlene Amorim, Sidnei Alves de Araujo, Valdir Henrique Cardoso, Sergio R Lourenço, Edmilson Alves de Moraes, Henrricco Nieves Pujol Tucci, Marcos Vido, Rodrigo Neri Bueno da Silva, Geraldo Cardoso de Oliveira Neto",Journal of Industrial and Production Engineering,42,6,p571 - p586,2025,10.1080/21681015.2025.2471905,05-Mar-2025,https://doi.org/10.1080/21681015.2025.2471905,153.0,0.0
Managing production systems with machine learning: a case analysis of Suzhou GCL photovoltaic technology,"Wuyue An, Genwang Liu, Huosong Xia, Zuopeng Justin Zhang",Production Planning & Control,33,16,p1559 - p1572,2022,10.1080/09537287.2021.1882693,25-Feb-2021,https://doi.org/10.1080/09537287.2021.1882693,920.0,8.0
A review of the literature on big data analytics in healthcare,"Panagiota Galetsi, Korina Katsaliaki",Journal of the Operational Research Society,71,10,p1511 - p1529,2020,10.1080/01605682.2019.1630328,05-Jul-2019,https://doi.org/10.1080/01605682.2019.1630328,5472.0,94.0
Business analytics and big data research in information systems,"Barbara Dinter, Christian Janiesch, Patrick Mikalef, Olgerta Tona",Journal of Business Analytics,5,1,p1 - p7,2022,10.1080/2573234x.2022.2069426,31-May-2022,https://doi.org/10.1080/2573234x.2022.2069426,10368.0,16.0
Creating Strategic Business Value from Big Data Analytics: A Research Framework,"Roger H L Chiang, Varun Grover, Ting-Peng Liang, Dongsong Zhang",Journal of Management Information Systems,35,2,p388 - p423,2018,10.1080/07421222.2018.1451951,15-May-2018,https://doi.org/10.1080/07421222.2018.1451951,24179.0,760.0
Managing customer knowledge through the use of big data analytics in tourism research,"Piera Centobelli, Valentina Ndou",Current Issues in Tourism,22,15,p1862 - p1882,2019,10.1080/13683500.2018.1564739,15-Jan-2019,https://doi.org/10.1080/13683500.2018.1564739,3121.0,85.0
Transformative role of big data through enabling capability recognition in construction,"Bernard Tuffour Atuahene, Thayaparan Gajendran, Sittimont Kanjanabootra",Construction Management and Economics,41,3,p208 - p231,2023,10.1080/01446193.2022.2132523,19-Oct-2022,https://doi.org/10.1080/01446193.2022.2132523,3858.0,18.0
Knowledge management in industry 4.0 environment for sustainable competitive advantage: a strategic framework,"Ayush Gupta, Sachin Kamble, Rajesh Kr Singh, Ruchi Mishra",Knowledge Management Research & Practice,20,6,p878 - p892,2022,10.1080/14778238.2022.2144512,14-Nov-2022,https://doi.org/10.1080/14778238.2022.2144512,1772.0,34.0
On the Convergence of Nanotechnology and Big Data Analysis for Computer-Aided Diagnosis,"Fernando V Paulovich, Jose F Jr Rodrigues, Maria CF de Oliveira, Osvaldo N Jr de Oliveira",Nanomedicine,11,8,p959 - p982,2016,10.2217/nnm.16.35,16-Mar-2016,https://doi.org/10.2217/nnm.16.35,451.0,32.0
"Big data analytics in medical engineering and healthcare: methods, advances and challenges","Cheryl Ann Alexander, Lidong Wang",Journal of Medical Engineering & Technology,44,6,p267 - p283,2020,10.1080/03091902.2020.1769758,05-Jun-2020,https://doi.org/10.1080/03091902.2020.1769758,3094.0,107.0
"Big Data, Chatbots, and Data Mining: Transforming Academic Libraries - A Bibliometric Analysis","Nur Ahmad, Shakil Ahmad, Sujin Butdiswan, Rupak Chakrabarty, Md Khairul Islam, Md Nurul Islam, Md Abdul Matin, Walton Wider",New Review of Academic Librarianship,32,1,p24 - p51,2026,10.1080/13614533.2025.2544531,21-Aug-2025,https://doi.org/10.1080/13614533.2025.2544531,551.0,4.0
Machine learning algorithms applied to intelligent tyre manufacturing,"Simone Massulini Acosta, Rodrigo Marcel Araujo Oliveira, Ângelo Márcio Oliveira Sant'Anna",International Journal of Computer Integrated Manufacturing,37,4,p497 - p507,2024,10.1080/0951192x.2023.2177734,10-Feb-2023,https://doi.org/10.1080/0951192x.2023.2177734,732.0,20.0
Advancing manufacturing systems with big-data analytics: A conceptual framework,"Peter Butala, Dominik Kozjek, Nada Lavrač, Borut Rihtaršič, Rok Vrabič",International Journal of Computer Integrated Manufacturing,33,2,p169 - p188,2020,10.1080/0951192x.2020.1718765,03-Feb-2020,https://doi.org/10.1080/0951192x.2020.1718765,6769.0,44.0
"Utilizing big data analytics for information systems research: challenges, promises and guidelines","Jan Vom Brocke, Stefan Debortoli, Iris Junglas, Oliver Müller",European Journal of Information Systems,25,4,p289 - p302,2016,10.1057/ejis.2016.2,19-Dec-2017,https://doi.org/10.1057/ejis.2016.2,21951.0,223.0
Novel approach to big data collaboration with network operators network function virtualisation (NFV),"Sasan Adibi, Amin Mobasher, Masood Mortazavi, Tom Tofigh","International Journal of Parallel, Emergent and Distributed Systems",30,1,p65 - p78,2015,10.1080/17445760.2014.930145,10-Jul-2014,https://doi.org/10.1080/17445760.2014.930145,329.0,1.0
Big data and artificial intelligence in the maritime industry: a bibliometric review and future research directions,"Mariia Dushenko, Marius Imset, Veronica Jaramillo Jimenez, Ziaul Haque Munim, Mohammad Hassan Shakil",Maritime Policy & Management,47,5,p577 - p597,2020,10.1080/03088839.2020.1788731,12-Jul-2020,https://doi.org/10.1080/03088839.2020.1788731,53987.0,332.0
The contribution of big data in green supply chain-a systematic review,"Smaïl Benzidia, Samuel Fosso Wamba, Jomana Leroux, Julia Maugran",Supply Chain Forum: An International Journal,26,1,p39 - p54,2025,10.1080/16258312.2024.2446007,30-Dec-2024,https://doi.org/10.1080/16258312.2024.2446007,362.0,4.0
Dynamic mapping of design elements and affective responses: a machine learning based method for affective design,"G Q Huang, Z Li, Z G Tian, J W Wang, W M Wang",Journal of Engineering Design,29,7,p358 - p380,2018,10.1080/09544828.2018.1471671,06-May-2018,https://doi.org/10.1080/09544828.2018.1471671,1323.0,52.0
Organisational project evaluation via machine learning techniques: an exploration,"Moshe Goresh, Yuval Lib, Roger McHaney, Iris Reychav, Hanoch Sapoznikov, Alon Yaakobi, Lin Zhu",Journal of Business Analytics,2,2,p147 - p159,2019,10.1080/2573234x.2019.1675478,11-Oct-2019,https://doi.org/10.1080/2573234x.2019.1675478,494.0,7.0
The future of knowledge management: an agenda for research and practice,"John Edwards, Antti Lönnqvist",Knowledge Management Research & Practice,21,5,p909 - p916,2023,10.1080/14778238.2023.2202509,19-Sep-2023,https://doi.org/10.1080/14778238.2023.2202509,8446.0,24.0
Big data analytics in healthcare: a systematic literature review,"Amandeep Dhir, A K M Najmul Islam, Sayantan Khanra, Matti Mäntymäki",Enterprise Information Systems,14,7,p878 - p912,2020,10.1080/17517575.2020.1812005,12-Oct-2020,https://doi.org/10.1080/17517575.2020.1812005,41563.0,236.0
Big Data in Food: Systematic Literature Review and Future Directions,"Debarun Chakraborty, Sangeeta Khorana, Sunil Luthra, Nripendra P Rana, Hari Babu Singu",Journal of Computer Information Systems,63,5,p1243 - p1263,2023,10.1080/08874417.2022.2132428,19-Oct-2022,https://doi.org/10.1080/08874417.2022.2132428,1484.0,30.0
Digital technologies and knowledge management in project context: a systematic literature review,"Luciano Ferreira da Silva, Paulo Sérgio Gonçalves de Oliveira, Raimundo José Lopes Gomes, Priscila Rezende da Costa",Knowledge Management Research & Practice,23,6,p749 - p764,2025,10.1080/14778238.2024.2419894,04-Nov-2024,https://doi.org/10.1080/14778238.2024.2419894,700.0,18.0
Big data contributions to human resource management: a systematic review,"José Garcia-Arroyo, Amparo Osca",The International Journal of Human Resource Management,32,20,p4337 - p4362,2021,10.1080/09585192.2019.1674357,09-Oct-2019,https://doi.org/10.1080/09585192.2019.1674357,14433.0,108.0
Generative artificial intelligence and organizational knowledge management: four alternative configurations,"Henri Hussinki, Patrick Mikalef, Paavo Ritala",Knowledge Management Research & Practice,,,p1 - p16,5187,10.1080/14778238.2026.2689386,17-Jun-2026,https://doi.org/10.1080/14778238.2026.2689386,1663.0,1.0
Big data analytics and enterprises: a bibliometric synthesis of the literature,"Amandeep Dhir, Sayantan Khanra, Matti Mäntymäki",Enterprise Information Systems,14,6,p737 - p768,2020,10.1080/17517575.2020.1734241,17-Mar-2020,https://doi.org/10.1080/17517575.2020.1734241,2700.0,201.0
Exploring success variables of knowledge management for enhanced organisational performance: an integrated framework,Samsul Alam,Knowledge Management Research & Practice,,,p1 - p29,5187,10.1080/14778238.2025.2550304,26-Aug-2025,https://doi.org/10.1080/14778238.2025.2550304,528.0,5.0
