Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 12-Sep-2026),Crossref citations (as of 12-Sep-2026),abstract,abstract_source,abstract_status
Affective design using machine learning: a survey and its prospect of conjoining big data,"Bilal Abu-Salih, Kit Yan Chan, Chris K Y Fung, Pratima Jain, Huimin Jiang, C K Kwong, Zhixin Liu, T C Wong, Pornpit Wongthongtham",International Journal of Computer Integrated Manufacturing,33.0,7,p645 - p669,2020,10.1080/0951192x.2018.1526412,04-Oct-2018,https://doi.org/10.1080/0951192x.2018.1526412,1537.0,53.0,"Customer satisfaction in purchasing new products is an important issue that needs to be addressed in today’s competitive markets. A product with good affective design excites consumer emotional feelings to buy the product. Affective design often involves complex and multi-dimensional problems for modelling and maximising affective satisfaction of customers. Machine learning is commonly used to model and maximise the affective satisfaction, since it is effective in modelling nonlinear patterns when numerical data relevant to the patterns is available. This review article presents a survey of commonly used machine learning approaches for affective design when two data streams, traditional survey data and modern big data, are used. A classification of machine learning technologies is first provided for traditional survey data. The limitations and advantages of machine learning technologies are discussed. Since big data related to affective design can be captured from social media, the prospects and challenges in using big data are discussed to enhance affective design, in which limited research has so far been attempted. This review article is useful for those who use machine learning technologies for affective design, and also provides guidelines for researchers who are interested in incorporating big data and machine learning technologies for affective design.",SemanticScholar,FOUND
Big data analytics and big data science: a survey,"Hong Chen, Yong Chen, Anjee Gorkhali, Ling Li, Yang Lu, Yiqian Ma",Journal of Management Analytics,3.0,1,p1 - p42,2016,10.1080/23270012.2016.1141332,26-Feb-2016,https://doi.org/10.1080/23270012.2016.1141332,3910.0,83.0,,,NOT_FOUND
Knowledge generation from Big Data for new product development: a structured literature review,"Gioconda Mele, Giuseppina Passiante, Donata Serra, Pasquale del Vecchio",Knowledge Management Research & Practice,21.0,4,p892 - p907,2023,10.1080/14778238.2022.2094292,28-Jul-2022,https://doi.org/10.1080/14778238.2022.2094292,555.0,5.0,"This study aims to provide a contribution to the systematisation of the state-of-the art of the literature on Big Data for the process of New Product Development (NPD). Based on the evidence of a structured literature review (SLR) on articles published from 2015 to 2021, the paper aims to identify new areas for future research, by highlighting the contribution of Big Data in the perspective of knowledge management for the improvement of the new product development process. Findings demonstrate a lack of research in this field and the fragmentation of the publications that require more in-depth investigation. The analysis allows the identification of quantitative and qualitative evidence of the research trends emerging at the intersection of the two well-known areas and to derive several implications both for research and practice.",SemanticScholar,FOUND
BIG data - BIG gains? Understanding the link between big data analytics and innovation,"Thomas Niebel, Fabienne Rasel, Steffen Viete",Economics of Innovation and New Technology,28.0,3,p296 - p316,2019,10.1080/10438599.2018.1493075,17-Jul-2018,https://doi.org/10.1080/10438599.2018.1493075,32882.0,158.0,"This paper analyzes the relationship between firms' use of big data analytics and their innovative performance in terms of product innovations. Since big data technologies provide new data information practices, they create novel decision-making possibilities, which are widely believed to support firms' innovation process. Applying German firm-level data within a knowledge production function framework we find suggestive evidence that big data analytics is a relevant determinant for the likelihood of a firm becoming a product innovator as well as for the market success of product innovations. These results hold for the manufacturing as well as for the service sector but are contingent on firms' investment in IT-specific skills. Overall, the results support the view that big data analytics have the potential to enable innovation.",SemanticScholar,FOUND
Big data and the transformation of operations models: a framework and a new research agenda,"G Graham, F Li, A Nucciarelli, S Roden",Production Planning & Control,28.0,11-12,p929 - p944,2017,10.1080/09537287.2017.1336792,11-Jul-2017,https://doi.org/10.1080/09537287.2017.1336792,3172.0,84.0,"Big Data has been hailed as the ‘next big thing’ to drive business value, transform organisations and industries, and ‘reveal secrets to those with the humility, willingness and tools to listen’ (Mayer-Schönberger and Cukier, 2013: 5). However, despite growing interest from organisations across industry sectors, Big Data applications appear to have concentrated on delivering incremental change and operational efficiency improvements, with little evidence on using Big Data to facilitate strategic, transformational change. In this paper, we explore how Big Data can be used across different sectors in leading organisations and examine the ways in which it is fostering change in the core operations models of organisations. A definition of ‘operations model’ is developed and the core dimensions of an operations model are then examined, namely capacity, supply network, process and technology, and people development and organisation. Through a series of case studies, we examine the role of Big Data in affecting some, or all, of these dimensions in order to generate value for the organisation by optimising, adapting or radically transforming the operations model. Following our analysis, we develop a tentative framework which can be used both for understanding how Big Data affects operations models, and for planning changes in operations models through Big Data. We set out a new research agenda to systematically understand the full potential of Big Data in transforming operations models.",SemanticScholar,FOUND
A survey of machine learning in additive manufacturing technologies,Jingchao Jiang,International Journal of Computer Integrated Manufacturing,36.0,9,p1258 - p1280,2023,10.1080/0951192x.2023.2177740,14-Feb-2023,https://doi.org/10.1080/0951192x.2023.2177740,3692.0,65.0,"Thirty years into its development, additive manufacturing has become a mainstream manufacturing process. Additive manufacturing fabricates products by adding materials layer-by-layer directly based on a 3D model. It is able to manufacture complex parts and allows more freedom of design optimization compared with traditional manufacturing techniques. Machine learning is now a hot technology that has been used in medical diagnosis, image processing, prediction, classification, learning association, regression, etc. Currently, focuses are increasingly given to using machine learning in the manufacturing industry, including additive manufacturing. Due to the rapid development of machine learning in additive manufacturing, a special issue ‘Machine Learning in Additive Manufacturing’ in International Journal of Computer Integrated Manufacturing is organized. This paper gives a comprehensive understanding of the current status of machine learning enhanced additive manufacturing technologies for this special issue. Discussions and future perspectives are also provided.",SemanticScholar,FOUND
Enhancing discrete-event simulation with big data analytics: A review,"John Steven Edwards, Andrew Greasley",Journal of the Operational Research Society,72.0,2,p247 - p267,2021,10.1080/01605682.2019.1678406,20-Nov-2019,https://doi.org/10.1080/01605682.2019.1678406,3331.0,53.0,"This article presents a literature review of the use of the OR technique of discrete-event simulation (DES) in conjunction with the big data analytics (BDA) approaches of data mining, machine learning, data farming, visual analytics, and process mining. The two areas are quite distinct. DES represents a mature OR tool using a graphical interface to produce an industry strength process modelling capability. The review reflects this and covers commercial off-the-shelf DES software used in an organisational setting. On the contrary the analytics techniques considered are in the domain of the data scientist and usually involve coding of algorithms to provide outputs derived from big data. Despite this divergence the review identifies a small but emerging literature of use-cases and from this a framework is derived for a DES development methodology that incorporates the use of these analytics techniques. The review finds scope for two new categories of simulation and analytics use: an enhanced capability for DES from the use of BDA at the main stages of the DES methodology as well as the use of DES in a data farming role to drive BDA techniques.",SemanticScholar,FOUND
Enhancing production planning in metal-mechanical industries: statistical analysis and machine learning approach for predicting machine failures,"Marcos Alexandruk, Marlene Amorim, Sidnei Alves de Araujo, Valdir Henrique Cardoso, Sergio R Lourenço, Edmilson Alves de Moraes, Henrricco Nieves Pujol Tucci, Marcos Vido, Rodrigo Neri Bueno da Silva, Geraldo Cardoso de Oliveira Neto",Journal of Industrial and Production Engineering,42.0,6,p571 - p586,2025,10.1080/21681015.2025.2471905,05-Mar-2025,https://doi.org/10.1080/21681015.2025.2471905,153.0,0.0,"Metal-mechanical industries have been implementing Internet of Things (IoT) sensors on machines to generate data that can support decision-making. However, challenges in analyzing the big data produced for predicting failures that may impact production planning are still observed. This work explores the application of statistics and machine learning in the analysis of big data produced by a metal-mechanical industry to explain the interactions between input variables and to predict, based on these variables, the different types of machine failures that negatively affect production planning. It is concluded that torque generates increase in temperature is being the main cause of tool breakage leading to unexpected machine stops. Thus, this study innovates when analyzing big data from a metal-mechanical industry using statistical analysis and machine learning combined with the SHAP (SHapley Additive exPlanations) technique for predicting machine failures. Additionally, this study guides managers on how to use computational techniques to support decision-making in operations and encourages investments in implementing IoT sensors and Artificial Intelligence. Graphical abstract",SemanticScholar,FOUND
Managing production systems with machine learning: a case analysis of Suzhou GCL photovoltaic technology,"Wuyue An, Genwang Liu, Huosong Xia, Zuopeng Justin Zhang",Production Planning & Control,33.0,16,p1559 - p1572,2022,10.1080/09537287.2021.1882693,25-Feb-2021,https://doi.org/10.1080/09537287.2021.1882693,920.0,8.0,"Production control in the manufacturing industry involves complex circumstances and high demand for timeliness. Unlike traditional production control methods, the approach that integrates machine learning and industrial big data can enable manufacturing industries to dynamically adapt to the changing environment and respond in a timely manner to market changes due to production optimisation and improve economic benefits. In order to explore the relationship between production system optimisation and lean strategic planning based on machine learning and big data, the paper conducts an exploratory case analysis based on Suzhou GCL Photovoltaic Technology, a successful company in the photovoltaic industry in China. We sort and investigate the first-hand interview data and second-hand news and video data, and then use the qualitative research method. Based on the analysis and observation, we find that machine learning has a positive impact on quality management. Data, information, knowledge, intelligence collectively impact the performance of intelligence production systems. Our research provides valuable insights for practitioners to effectively accelerate the transformation to intelligent manufacturing.",SemanticScholar,FOUND
A review of the literature on big data analytics in healthcare,"Panagiota Galetsi, Korina Katsaliaki",Journal of the Operational Research Society,71.0,10,p1511 - p1529,2020,10.1080/01605682.2019.1630328,05-Jul-2019,https://doi.org/10.1080/01605682.2019.1630328,5472.0,94.0,"Big data analytics (BDA) is of paramount importance in healthcare aspects such as patient diagnostics, fast epidemic recognition, and improvement of patient management. The objective of this profiling study is (a) to provide an overview of the BDA publication dynamics in the healthcare domain and (b) to discuss this scientific field through related examples. A sampling literature review has been conducted. A total of 804 papers have been identified and content analysis has been performed to mine knowledge in the domain for the years 2000–2016. The findings show that co-authors’ backgrounds are from the subject areas of medicine and computer sciences. Most articles are experimental in nature and use modeling and machine learning techniques to exploit clinical data, for health monitoring and prediction purposes. Many articles are relevant to the medical specialties of neurology/neurosurgery/neuropsychiatry, medical oncology, and cardiology. Well-cited papers investigate the identification and management of high-risk/cost patients, the use of big data, Hadoop and cloud computing in genomics, and the development of mobile applications for disease management. Important is also the research about improving disease prediction by investigating patients' medical results using advanced analysis (such as segmentation and predictive modelling, machine learning, visualisation, etc.).",SemanticScholar,FOUND
