gejala,jenis
tengkuk terasa kencang,G3
pusing,G1
pusing,G1
jantung berdebar,g13
kadang ulu hati nyeri jika terlambat makan,O
pusing,G1
mual tidak ada,G8
muntah,G7
pusing,G1
pilek,G15
batuk,G17
kontrol kesehatan,O
keluhan tengkuk terasa kencang,G3
riwayat membaca lama,O
kaca mata jarak dekat yang dipakai,O
pusing cekot,G5
kadang batuk,G17
dahak tidak ada,O
tenggorokan gatal,O
demam tidak ada,G20
pilek tidak ada,G16
sejak semalam (kadang minum ceterizin),O
alergi obat tidak ada,O
haid mei agustus tidak teratur,G21
bagian mulut terasa ketarik,O
nyeri di kepala bagian atas kiri,G5
RPD (nyeri tulang belakang),O
mulut terasa pahit,O
kaki kanan/kiri sering terasa kram,O
mual tidak ada,G8
muntah tidak ada,G8
nyeri tengkuk sudah berlangsung 3 bulan,G3
nyeri kepala berdenyut kadang berputar,G5
mual tidak ada,G8
demam tidak ada,G20
badan terasa pegal,O
batuk tidak ada,G18
pilek tidak ada,G16
minta ijin surat sakit,O
nyeri di tengkuk +-1 minggu,G3
nyeri kepala berdenyut +-1 minggu,G5
perut kadang terasa tidak nyaman,O
kepala terasa pusing,G1
leher terasa kaku,G3
mual muntah tidak ada,G8
+-1 hari riwayat magh tidak ada,G12
kepala terasa sakit,G5
pusing,G1
pusing berputar tidak ada,G2
badan terasa lemas,O
demam tidak ada,G20
batuk tidak ada,G18
pilek tidak ada,G16
sesak 3 hari,G9
tengkuk cengeng tidak ada,G4
cekot,G5
mual tidak ada,G8
muntah tidak ada,G8
riwayat magh tidak ada,G12
nyeri kepala berputar,G5
mual,G7
muntah tidak ada,G8
nyeri lambung,G11
diare tidak ada,G12
batuk tidak ada,G18
dada terasa sesak,G9
panas perih surat keterangan sakit,O
pahit kecut di lidah,O
alergi analsix,O
